"","fips","county_name","state_abbr","state_name"
"273",8053,"Hinsdale","CO","Colorado"
"274",8055,"Huerfano","CO","Colorado"
"275",8057,"Jackson","CO","Colorado"
"276",8059,"Jefferson","CO","Colorado"
"277",8061,"Kiowa","CO","Colorado"
"278",8063,"Kit Carson","CO","Colorado"
"279",8065,"Lake","CO","Colorado"
"280",8067,"La Plata","CO","Colorado"
"281",8069,"Larimer","CO","Colorado"
"282",8071,"Las Animas","CO","Colorado"
"283",8073,"Lincoln","CO","Colorado"
"284",8075,"Logan","CO","Colorado"
"285",8077,"Mesa","CO","Colorado"
"286",8079,"Mineral","CO","Colorado"
"287",8081,"Moffat","CO","Colorado"
"288",8083,"Montezuma","CO","Colorado"
"289",8085,"Montrose","CO","Colorado"
"290",8087,"Morgan","CO","Colorado"
"291",8089,"Otero","CO","Colorado"
"292",8091,"Ouray","CO","Colorado"
"293",8093,"Park","CO","Colorado"
"294",8095,"Phillips","CO","Colorado"
"295",8097,"Pitkin","CO","Colorado"
"296",8099,"Prowers","CO","Colorado"
"297",8101,"Pueblo","CO","Colorado"
"298",8103,"Rio Blanco","CO","Colorado"
"299",8105,"Rio Grande","CO","Colorado"
"300",8107,"Routt","CO","Colorado"
"301",8109,"Saguache","CO","Colorado"
"302",8111,"San Juan","CO","Colorado"
"303",8113,"San Miguel","CO","Colorado"
"304",8115,"Sedgwick","CO","Colorado"
"305",8117,"Summit","CO","Colorado"
"306",8119,"Teller","CO","Colorado"
"307",8121,"Washington","CO","Colorado"
"308",8123,"Weld","CO","Colorado"
"309",8125,"Yuma","CO","Colorado"
"310",9001,"Fairfield","CT","Connecticut"
"311",9003,"Hartford","CT","Connecticut"
"312",9005,"Litchfield","CT","Connecticut"
"313",9007,"Middlesex","CT","Connecticut"
"314",9009,"New Haven","CT","Connecticut"
"315",9011,"New London","CT","Connecticut"
"316",9013,"Tolland","CT","Connecticut"
"317",9015,"Windham","CT","Connecticut"
"318",10001,"Kent","DE","Delaware"
"319",10003,"New Castle","DE","Delaware"
"320",10005,"Sussex","DE","Delaware"
"321",11001,"District of Columbia","DC","District of Columbia"
"322",11001,"District of Columbia","DC","District of Columbia"
"323",12001,"Alachua","FL","Florida"
"324",12003,"Baker","FL","Florida"
"325",12005,"Bay","FL","Florida"
"326",12007,"Bradford","FL","Florida"
"327",12009,"Brevard","FL","Florida"
"328",12011,"Broward","FL","Florida"
"329",12013,"Calhoun","FL","Florida"
